Round: 1
Created: paoletti0 (distance: 76, speed: 2, health: 2)
Moved: noah628 (distance: 293, speed: 7, health: 4)
Moved: paoletti630 (distance: 202, speed: 10, health: 2)
Moved: darden631 (distance: 206, speed: 6, health: 4)
Moved: garcia632 (distance: 294, speed: 4, health: 3)
Moved: will635 (distance: 126, speed: 2, health: 2)
Moved: fee636 (distance: 144, speed: 1, health: 4)
Moved: potatobot638 (distance: 146, speed: 7, health: 4)
Moved: paoletti639 (distance: 194, speed: 7, health: 3)
Moved: garcia641 (distance: 213, speed: 7, health: 1)
Moved: cris642 (distance: 188, speed: 10, health: 2)
Moved: bing643 (distance: 169, speed: 2, health: 5)
Moved: will644 (distance: 139, speed: 2, health: 3)
Moved: fee645 (distance: 77, speed: 4, health: 1)
Moved: potatobot647 (distance: 216, speed: 8, health: 2)
Moved: paoletti648 (distance: 283, speed: 3, health: 3)
Moved: darden649 (distance: 128, speed: 4, health: 3)
Moved: garcia650 (distance: 255, speed: 7, health: 3)
Moved: will653 (distance: 193, speed: 8, health: 5)
Moved: fee654 (distance: 282, speed: 4, health: 4)
Moved: noah655 (distance: 172, speed: 8, health: 1)
Moved: potatobot656 (distance: 270, speed: 10, health: 1)
Moved: darden658 (distance: 280, speed: 8, health: 1)
Moved: garcia659 (distance: 254, speed: 1, health: 4)
Moved: bing661 (distance: 152, speed: 4, health: 3)
Moved: will662 (distance: 261, speed: 5, health: 1)
Moved: fee663 (distance: 160, speed: 1, health: 3)
Moved: paoletti666 (distance: 253, speed: 7, health: 1)
Moved: darden667 (distance: 125, speed: 4, health: 4)
Moved: garcia668 (distance: 186, speed: 4, health: 4)
Moved: cris669 (distance: 264, speed: 4, health: 1)
Moved: will671 (distance: 278, speed: 10, health: 5)
Moved: potatobot674 (distance: 262, speed: 7, health: 4)
Moved: paoletti675 (distance: 96, speed: 5, health: 3)
Moved: darden676 (distance: 70, speed: 2, health: 2)
Moved: garcia677 (distance: 151, speed: 4, health: 1)
Moved: cris678 (distance: 214, speed: 5, health: 1)
Moved: bing679 (distance: 168, speed: 10, health: 2)
Moved: fee681 (distance: 290, speed: 3, health: 3)
Moved: noah682 (distance: 204, speed: 9, health: 1)
Moved: paoletti684 (distance: 231, speed: 1, health: 4)
Moved: darden685 (distance: 237, speed: 8, health: 5)
Moved: garcia686 (distance: 200, speed: 3, health: 3)
Moved: cris687 (distance: 103, speed: 4, health: 2)
Moved: bing688 (distance: 184, speed: 2, health: 2)
Moved: will689 (distance: 238, speed: 10, health: 4)
Moved: fee690 (distance: 187, speed: 4, health: 2)
Moved: potatobot692 (distance: 170, speed: 6, health: 2)
Moved: darden694 (distance: 106, speed: 6, health: 3)
Moved: garcia695 (distance: 59, speed: 2, health: 5)
Moved: cris696 (distance: 143, speed: 1, health: 4)
Moved: noah700 (distance: 169, speed: 1, health: 2)
Moved: paoletti702 (distance: 264, speed: 5, health: 3)
Moved: garcia704 (distance: 243, speed: 7, health: 5)
Moved: cris705 (distance: 191, speed: 4, health: 3)
Moved: fee708 (distance: 134, speed: 7, health: 3)
Moved: noah709 (distance: 252, speed: 9, health: 3)
Moved: potatobot710 (distance: 255, speed: 6, health: 1)
Moved: paoletti711 (distance: 242, speed: 4, health: 1)
Moved: cris714 (distance: 228, speed: 4, health: 5)
Moved: fee717 (distance: 251, speed: 6, health: 3)
Moved: noah718 (distance: 143, speed: 8, health: 1)
Moved: potatobot719 (distance: 249, speed: 6, health: 3)
Moved: paoletti720 (distance: 268, speed: 6, health: 4)
Moved: garcia722 (distance: 86, speed: 1, health: 5)
Moved: will725 (distance: 62, speed: 3, health: 4)
Moved: noah727 (distance: 252, speed: 3, health: 5)
Moved: potatobot728 (distance: 272, speed: 9, health: 1)
Moved: paoletti729 (distance: 99, speed: 1, health: 1)
Moved: garcia731 (distance: 132, speed: 2, health: 1)
Moved: will734 (distance: 120, speed: 1, health: 5)
Moved: fee735 (distance: 61, speed: 2, health: 5)
Moved: potatobot737 (distance: 187, speed: 6, health: 3)
Moved: paoletti738 (distance: 285, speed: 1, health: 3)
Moved: darden739 (distance: 237, speed: 6, health: 5)
Moved: cris741 (distance: 241, speed: 3, health: 2)
Moved: bing742 (distance: 225, speed: 3, health: 5)
Moved: will743 (distance: 203, speed: 5, health: 5)
Moved: fee744 (distance: 239, speed: 6, health: 3)
Moved: noah745 (distance: 86, speed: 5, health: 1)
Moved: garcia749 (distance: 253, speed: 9, health: 5)
Moved: cris750 (distance: 288, speed: 6, health: 4)
Moved: bing751 (distance: 286, speed: 6, health: 3)
Moved: fee753 (distance: 150, speed: 7, health: 1)
Moved: noah754 (distance: 131, speed: 6, health: 1)
Moved: potatobot755 (distance: 215, speed: 4, health: 3)
Moved: paoletti756 (distance: 224, speed: 3, health: 5)
Moved: darden757 (distance: 267, speed: 9, health: 4)
Moved: garcia758 (distance: 67, speed: 2, health: 5)
Moved: cris759 (distance: 167, speed: 9, health: 4)
Moved: bing760 (distance: 137, speed: 2, health: 2)
Moved: will761 (distance: 156, speed: 3, health: 3)
Moved: fee762 (distance: 244, speed: 1, health: 2)
Moved: noah763 (distance: 188, speed: 2, health: 5)
Moved: potatobot764 (distance: 269, speed: 8, health: 4)
Moved: paoletti765 (distance: 159, speed: 1, health: 5)
Moved: cris768 (distance: 174, speed: 10, health: 2)
Moved: bing769 (distance: 104, speed: 5, health: 1)
Moved: will770 (distance: 53, speed: 3, health: 1)
Moved: noah772 (distance: 196, speed: 2, health: 4)
Moved: darden775 (distance: 236, speed: 6, health: 4)
Moved: cris777 (distance: 135, speed: 7, health: 4)
Moved: potatobot782 (distance: 106, speed: 6, health: 4)
Moved: darden784 (distance: 110, speed: 3, health: 4)
Moved: garcia785 (distance: 169, speed: 7, health: 4)
Moved: cris786 (distance: 176, speed: 2, health: 2)
Moved: will788 (distance: 282, speed: 10, health: 4)
Moved: fee789 (distance: 220, speed: 4, health: 3)
Moved: noah790 (distance: 259, speed: 3, health: 3)
Moved: potatobot791 (distance: 296, speed: 1, health: 5)
Moved: paoletti792 (distance: 196, speed: 4, health: 1)
Moved: darden793 (distance: 129, speed: 4, health: 1)
Moved: bing796 (distance: 199, speed: 8, health: 2)
Moved: fee798 (distance: 36, speed: 2, health: 2)
Moved: noah799 (distance: 260, speed: 4, health: 4)
Created: potatobot800 (distance: 40, speed: 5, health: 2)
Created: paoletti801 (distance: 30, speed: 7, health: 5)
Created: darden802 (distance: 91, speed: 6, health: 4)
Created: garcia803 (distance: 226, speed: 5, health: 5)
Created: cris804 (distance: 4, speed: 4, health: 2)
Created: bing805 (distance: 273, speed: 10, health: 1)
Created: will806 (distance: 246, speed: 8, health: 4)
Created: fee807 (distance: 179, speed: 5, health: 4)
Created: noah808 (distance: 103, speed: 4, health: 3)
Created: potatobot809 (distance: 6, speed: 4, health: 4)
Created: paoletti810 (distance: 264, speed: 3, health: 5)
Created: darden811 (distance: 106, speed: 8, health: 2)
Created: garcia812 (distance: 256, speed: 1, health: 1)
Created: cris813 (distance: 218, speed: 2, health: 2)
Created: bing814 (distance: 228, speed: 1, health: 2)
Created: will815 (distance: 229, speed: 4, health: 1)
Created: fee816 (distance: 230, speed: 1, health: 4)
Created: noah817 (distance: 264, speed: 4, health: 3)
Created: potatobot818 (distance: 48, speed: 4, health: 5)
Created: paoletti819 (distance: 287, speed: 6, health: 4)
Created: darden820 (distance: 54, speed: 7, health: 1)
Created: garcia821 (distance: 237, speed: 1, health: 2)
Created: cris822 (distance: 266, speed: 7, health: 3)
Created: bing823 (distance: 126, speed: 10, health: 2)
Created: will824 (distance: 93, speed: 8, health: 1)
Created: fee825 (distance: 245, speed: 9, health: 5)
Created: noah826 (distance: 201, speed: 8, health: 3)
Created: potatobot827 (distance: 95, speed: 8, health: 3)
Created: paoletti828 (distance: 24, speed: 2, health: 1)
Created: darden829 (distance: 135, speed: 6, health: 4)
Created: garcia830 (distance: 96, speed: 9, health: 2)
Created: cris831 (distance: 215, speed: 5, health: 2)
Created: bing832 (distance: 49, speed: 1, health: 1)
Created: will833 (distance: 118, speed: 3, health: 1)
Created: fee834 (distance: 152, speed: 7, health: 2)
Created: noah835 (distance: 83, speed: 1, health: 5)
Created: potatobot836 (distance: 210, speed: 7, health: 3)
Created: paoletti837 (distance: 34, speed: 8, health: 5)
Created: darden838 (distance: 68, speed: 2, health: 4)
Created: garcia839 (distance: 273, speed: 4, health: 2)
Created: cris840 (distance: 122, speed: 3, health: 2)
Created: bing841 (distance: 100, speed: 9, health: 4)
Created: will842 (distance: 269, speed: 1, health: 3)
Created: fee843 (distance: 187, speed: 7, health: 3)
Created: noah844 (distance: 208, speed: 8, health: 1)
Created: potatobot845 (distance: 284, speed: 1, health: 1)
Created: paoletti846 (distance: 21, speed: 8, health: 5)
Created: darden847 (distance: 151, speed: 8, health: 2)
Created: garcia848 (distance: 237, speed: 4, health: 4)
Created: cris849 (distance: 294, speed: 4, health: 2)
Created: bing850 (distance: 160, speed: 2, health: 5)
Created: will851 (distance: 274, speed: 5, health: 4)
Created: fee852 (distance: 79, speed: 1, health: 1)
Created: noah853 (distance: 150, speed: 5, health: 5)
Created: potatobot854 (distance: 298, speed: 2, health: 2)
Created: paoletti855 (distance: 286, speed: 2, health: 2)
Created: darden856 (distance: 52, speed: 8, health: 1)
Created: garcia857 (distance: 175, speed: 6, health: 4)
Created: cris858 (distance: 159, speed: 7, health: 5)
Created: bing859 (distance: 23, speed: 8, health: 1)
Created: will860 (distance: 45, speed: 1, health: 1)
Created: fee861 (distance: 159, speed: 4, health: 4)
Created: noah862 (distance: 14, speed: 4, health: 2)
Created: potatobot863 (distance: 166, speed: 6, health: 4)
Created: paoletti864 (distance: 199, speed: 9, health: 5)
Created: darden865 (distance: 249, speed: 5, health: 3)
Created: garcia866 (distance: 176, speed: 4, health: 4)
Created: cris867 (distance: 258, speed: 9, health: 1)
Created: bing868 (distance: 212, speed: 6, health: 3)
Created: will869 (distance: 299, speed: 5, health: 5)
Created: fee870 (distance: 15, speed: 8, health: 3)
Created: noah871 (distance: 117, speed: 8, health: 1)
Created: potatobot872 (distance: 153, speed: 7, health: 4)
Created: paoletti873 (distance: 247, speed: 4, health: 1)
Created: darden874 (distance: 185, speed: 4, health: 5)
Created: garcia875 (distance: 142, speed: 2, health: 5)
Created: cris876 (distance: 97, speed: 3, health: 3)
Created: bing877 (distance: 162, speed: 9, health: 3)
Created: will878 (distance: 56, speed: 9, health: 3)
Created: fee879 (distance: 39, speed: 2, health: 3)
Created: noah880 (distance: 61, speed: 7, health: 4)
Created: potatobot881 (distance: 36, speed: 9, health: 1)
Created: paoletti882 (distance: 10, speed: 7, health: 1)
Created: darden883 (distance: 79, speed: 6, health: 1)
Created: garcia884 (distance: 152, speed: 4, health: 3)
Created: cris885 (distance: 278, speed: 9, health: 5)
Created: bing886 (distance: 123, speed: 3, health: 5)
Created: will887 (distance: 245, speed: 4, health: 2)
Created: fee888 (distance: 142, speed: 2, health: 5)
Created: noah889 (distance: 87, speed: 5, health: 1)
Created: potatobot890 (distance: 235, speed: 10, health: 5)
Created: paoletti891 (distance: 214, speed: 2, health: 2)
Created: darden892 (distance: 41, speed: 5, health: 3)
Created: garcia893 (distance: 254, speed: 1, health: 5)
Created: cris894 (distance: 24, speed: 5, health: 4)
Created: bing895 (distance: 213, speed: 1, health: 5)
Created: will896 (distance: 269, speed: 2, health: 3)
Created: fee897 (distance: 206, speed: 4, health: 1)
Created: noah898 (distance: 218, speed: 10, health: 5)
Created: potatobot899 (distance: 129, speed: 8, health: 3)
Created: paoletti900 (distance: 142, speed: 4, health: 2)
Created: darden901 (distance: 207, speed: 6, health: 2)
Created: garcia902 (distance: 51, speed: 2, health: 1)
Created: cris903 (distance: 119, speed: 7, health: 4)
Created: bing904 (distance: 77, speed: 6, health: 2)
Created: will905 (distance: 113, speed: 7, health: 4)
Created: fee906 (distance: 111, speed: 2, health: 5)
Created: noah907 (distance: 118, speed: 4, health: 2)
Created: potatobot908 (distance: 84, speed: 5, health: 3)
Created: paoletti909 (distance: 199, speed: 8, health: 3)
Created: darden910 (distance: 130, speed: 9, health: 2)
Created: garcia911 (distance: 278, speed: 1, health: 1)
Created: cris912 (distance: 90, speed: 7, health: 3)
Created: bing913 (distance: 98, speed: 9, health: 1)
Created: will914 (distance: 85, speed: 4, health: 4)
Created: fee915 (distance: 185, speed: 4, health: 3)
Created: noah916 (distance: 235, speed: 4, health: 5)
Created: potatobot917 (distance: 274, speed: 4, health: 5)
Created: paoletti918 (distance: 240, speed: 10, health: 3)
Created: darden919 (distance: 260, speed: 6, health: 4)
Created: garcia920 (distance: 214, speed: 3, health: 5)
Created: cris921 (distance: 172, speed: 6, health: 2)
Created: bing922 (distance: 249, speed: 2, health: 3)
Created: will923 (distance: 95, speed: 9, health: 2)
Created: fee924 (distance: 202, speed: 4, health: 2)
Created: noah925 (distance: 199, speed: 9, health: 2)
Created: potatobot926 (distance: 117, speed: 6, health: 4)
Created: paoletti927 (distance: 288, speed: 7, health: 5)
Created: darden928 (distance: 217, speed: 4, health: 2)
Created: garcia929 (distance: 147, speed: 2, health: 1)
Created: cris930 (distance: 268, speed: 4, health: 2)
Created: bing931 (distance: 249, speed: 8, health: 5)
Created: will932 (distance: 123, speed: 5, health: 3)
Created: fee933 (distance: 146, speed: 10, health: 1)
Created: noah934 (distance: 176, speed: 6, health: 5)
Created: potatobot935 (distance: 47, speed: 1, health: 1)
Created: paoletti936 (distance: 300, speed: 7, health: 1)
Created: darden937 (distance: 73, speed: 4, health: 3)
Created: garcia938 (distance: 29, speed: 4, health: 1)
Created: cris939 (distance: 226, speed: 9, health: 2)
Created: bing940 (distance: 296, speed: 3, health: 4)
Created: will941 (distance: 54, speed: 10, health: 3)
Created: fee942 (distance: 111, speed: 2, health: 3)
Created: noah943 (distance: 6, speed: 2, health: 3)
Created: potatobot944 (distance: 4, speed: 9, health: 3)
Created: paoletti945 (distance: 94, speed: 9, health: 1)
Created: darden946 (distance: 250, speed: 3, health: 1)
Created: garcia947 (distance: 122, speed: 9, health: 4)
Created: cris948 (distance: 3, speed: 10, health: 1)
Created: bing949 (distance: 265, speed: 8, health: 3)
Created: will950 (distance: 116, speed: 7, health: 1)
Created: fee951 (distance: 204, speed: 7, health: 5)
Created: noah952 (distance: 137, speed: 8, health: 1)
Created: potatobot953 (distance: 201, speed: 8, health: 5)
Created: paoletti954 (distance: 62, speed: 5, health: 4)
Created: darden955 (distance: 61, speed: 9, health: 2)
Created: garcia956 (distance: 30, speed: 2, health: 1)
Created: cris957 (distance: 91, speed: 10, health: 1)
Created: bing958 (distance: 117, speed: 8, health: 2)
Created: will959 (distance: 122, speed: 8, health: 2)
Created: fee960 (distance: 228, speed: 8, health: 2)
Created: noah961 (distance: 6, speed: 4, health: 5)
Created: potatobot962 (distance: 156, speed: 10, health: 4)
Created: paoletti963 (distance: 91, speed: 9, health: 3)
Created: darden964 (distance: 285, speed: 5, health: 4)
Created: garcia965 (distance: 33, speed: 8, health: 2)
Created: cris966 (distance: 245, speed: 7, health: 4)
Created: bing967 (distance: 300, speed: 8, health: 3)
Created: will968 (distance: 152, speed: 7, health: 3)
Created: fee969 (distance: 269, speed: 3, health: 5)
Created: noah970 (distance: 279, speed: 6, health: 3)
Created: potatobot971 (distance: 288, speed: 10, health: 1)
Created: paoletti972 (distance: 257, speed: 6, health: 1)
Created: darden973 (distance: 129, speed: 1, health: 5)
Created: garcia974 (distance: 199, speed: 3, health: 5)
Created: cris975 (distance: 88, speed: 1, health: 2)
Created: bing976 (distance: 233, speed: 2, health: 1)
Created: will977 (distance: 46, speed: 9, health: 1)
Created: fee978 (distance: 79, speed: 1, health: 4)
Created: noah979 (distance: 203, speed: 6, health: 1)
Created: potatobot980 (distance: 122, speed: 6, health: 4)
Created: paoletti981 (distance: 247, speed: 5, health: 4)
Created: darden982 (distance: 105, speed: 10, health: 3)
Created: garcia983 (distance: 91, speed: 7, health: 2)
Created: cris984 (distance: 18, speed: 1, health: 3)
Created: bing985 (distance: 195, speed: 4, health: 4)
Created: will986 (distance: 167, speed: 6, health: 1)
Created: fee987 (distance: 290, speed: 10, health: 2)
Created: noah988 (distance: 74, speed: 3, health: 2)
Created: potatobot989 (distance: 55, speed: 5, health: 2)
Created: paoletti990 (distance: 246, speed: 8, health: 5)
Created: darden991 (distance: 53, speed: 3, health: 1)
Created: garcia992 (distance: 40, speed: 7, health: 4)
Created: cris993 (distance: 277, speed: 2, health: 1)
Created: bing994 (distance: 246, speed: 2, health: 3)
Created: will995 (distance: 16, speed: 5, health: 4)
Created: fee996 (distance: 133, speed: 1, health: 2)
Created: noah997 (distance: 105, speed: 4, health: 5)
Created: potatobot998 (distance: 292, speed: 5, health: 2)
Created: paoletti999 (distance: 43, speed: 10, health: 4)
Created: darden1000 (distance: 112, speed: 10, health: 2)
Created: garcia1001 (distance: 266, speed: 1, health: 4)
Created: cris1002 (distance: 50, speed: 9, health: 5)
Created: bing1003 (distance: 16, speed: 8, health: 1)
Created: will1004 (distance: 202, speed: 5, health: 3)
Created: fee1005 (distance: 278, speed: 9, health: 2)
Created: noah1006 (distance: 272, speed: 7, health: 1)
Created: potatobot1007 (distance: 22, speed: 3, health: 2)
Created: paoletti1008 (distance: 9, speed: 3, health: 2)
Created: darden1009 (distance: 68, speed: 6, health: 2)
Created: garcia1010 (distance: 245, speed: 3, health: 2)
Created: cris1011 (distance: 102, speed: 10, health: 3)
Created: bing1012 (distance: 14, speed: 4, health: 3)
Created: will1013 (distance: 73, speed: 7, health: 3)
Created: fee1014 (distance: 299, speed: 4, health: 2)
Created: noah1015 (distance: 142, speed: 3, health: 5)
Created: potatobot1016 (distance: 58, speed: 3, health: 4)
Created: paoletti1017 (distance: 168, speed: 10, health: 4)
Created: darden1018 (distance: 161, speed: 5, health: 2)
Created: garcia1019 (distance: 297, speed: 3, health: 2)
Created: cris1020 (distance: 81, speed: 6, health: 3)
Created: bing1021 (distance: 181, speed: 9, health: 5)
Created: will1022 (distance: 267, speed: 1, health: 2)
Created: fee1023 (distance: 47, speed: 4, health: 5)
Created: noah1024 (distance: 296, speed: 4, health: 3)
Created: potatobot1025 (distance: 142, speed: 8, health: 2)
Created: paoletti1026 (distance: 237, speed: 7, health: 4)
Created: darden1027 (distance: 51, speed: 10, health: 3)
Created: garcia1028 (distance: 82, speed: 7, health: 4)
Created: cris1029 (distance: 131, speed: 2, health: 5)
Created: bing1030 (distance: 168, speed: 9, health: 2)
Created: will1031 (distance: 213, speed: 1, health: 4)
Created: fee1032 (distance: 140, speed: 2, health: 4)
Created: noah1033 (distance: 62, speed: 1, health: 1)
Created: potatobot1034 (distance: 114, speed: 4, health: 2)
Created: paoletti1035 (distance: 261, speed: 3, health: 5)
Created: darden1036 (distance: 96, speed: 4, health: 2)
Created: garcia1037 (distance: 249, speed: 5, health: 1)
Created: cris1038 (distance: 268, speed: 1, health: 2)
Created: bing1039 (distance: 170, speed: 6, health: 2)
Created: will1040 (distance: 128, speed: 9, health: 3)
Created: fee1041 (distance: 204, speed: 3, health: 5)
Created: noah1042 (distance: 81, speed: 2, health: 1)
Created: potatobot1043 (distance: 251, speed: 8, health: 3)
Created: paoletti1044 (distance: 67, speed: 2, health: 3)
Created: darden1045 (distance: 62, speed: 2, health: 1)
Created: garcia1046 (distance: 9, speed: 10, health: 3)
Created: cris1047 (distance: 144, speed: 10, health: 5)
Created: bing1048 (distance: 277, speed: 5, health: 2)
Created: will1049 (distance: 130, speed: 3, health: 5)
Created: fee1050 (distance: 91, speed: 4, health: 1)
Created: noah1051 (distance: 108, speed: 8, health: 3)
Created: potatobot1052 (distance: 73, speed: 6, health: 2)
Created: paoletti1053 (distance: 261, speed: 8, health: 4)
Created: darden1054 (distance: 227, speed: 6, health: 5)
Created: garcia1055 (distance: 230, speed: 3, health: 4)
Created: cris1056 (distance: 238, speed: 7, health: 1)
Created: bing1057 (distance: 201, speed: 9, health: 4)
Created: will1058 (distance: 205, speed: 4, health: 2)
Created: fee1059 (distance: 266, speed: 6, health: 5)
Created: noah1060 (distance: 245, speed: 5, health: 4)
Created: potatobot1061 (distance: 228, speed: 6, health: 3)
Created: paoletti1062 (distance: 183, speed: 5, health: 2)
Created: darden1063 (distance: 85, speed: 8, health: 2)
Created: garcia1064 (distance: 4, speed: 8, health: 3)
Created: cris1065 (distance: 281, speed: 9, health: 2)
Created: bing1066 (distance: 214, speed: 7, health: 1)
Created: will1067 (distance: 227, speed: 5, health: 3)
Created: fee1068 (distance: 157, speed: 3, health: 5)
Created: noah1069 (distance: 119, speed: 10, health: 3)
Created: potatobot1070 (distance: 7, speed: 8, health: 3)
Created: paoletti1071 (distance: 81, speed: 7, health: 5)
Created: darden1072 (distance: 147, speed: 6, health: 3)
Created: garcia1073 (distance: 79, speed: 2, health: 1)
Created: cris1074 (distance: 258, speed: 7, health: 2)
Created: bing1075 (distance: 126, speed: 2, health: 2)
Created: will1076 (distance: 248, speed: 2, health: 5)
Created: fee1077 (distance: 142, speed: 3, health: 2)
Created: noah1078 (distance: 68, speed: 1, health: 1)
Created: potatobot1079 (distance: 137, speed: 6, health: 5)
Created: paoletti1080 (distance: 35, speed: 6, health: 2)
Created: darden1081 (distance: 103, speed: 1, health: 2)
Created: garcia1082 (distance: 111, speed: 9, health: 4)
Created: cris1083 (distance: 115, speed: 1, health: 4)
Created: bing1084 (distance: 107, speed: 7, health: 4)
Created: will1085 (distance: 95, speed: 5, health: 4)
Created: fee1086 (distance: 67, speed: 2, health: 4)
Created: noah1087 (distance: 24, speed: 10, health: 2)
Created: potatobot1088 (distance: 205, speed: 7, health: 5)
Created: paoletti1089 (distance: 155, speed: 3, health: 2)
Created: darden1090 (distance: 276, speed: 1, health: 4)
Created: garcia1091 (distance: 118, speed: 3, health: 3)
Created: cris1092 (distance: 60, speed: 6, health: 5)
Created: bing1093 (distance: 79, speed: 2, health: 1)
Created: will1094 (distance: 125, speed: 9, health: 2)
Created: fee1095 (distance: 125, speed: 7, health: 2)
Created: noah1096 (distance: 293, speed: 7, health: 1)
Created: potatobot1097 (distance: 262, speed: 5, health: 2)
Created: paoletti1098 (distance: 279, speed: 1, health: 3)
Created: darden1099 (distance: 272, speed: 7, health: 2)
Created: garcia1100 (distance: 128, speed: 8, health: 5)
Created: cris1101 (distance: 11, speed: 7, health: 1)
Created: bing1102 (distance: 120, speed: 6, health: 2)
Created: will1103 (distance: 203, speed: 1, health: 5)
Created: fee1104 (distance: 63, speed: 5, health: 5)
Created: noah1105 (distance: 159, speed: 6, health: 4)
Created: potatobot1106 (distance: 217, speed: 5, health: 4)
Created: paoletti1107 (distance: 19, speed: 8, health: 3)
Created: darden1108 (distance: 142, speed: 1, health: 4)
Created: garcia1109 (distance: 222, speed: 3, health: 2)
Created: cris1110 (distance: 21, speed: 7, health: 3)
Created: bing1111 (distance: 90, speed: 3, health: 4)
Created: will1112 (distance: 128, speed: 6, health: 1)
Created: fee1113 (distance: 157, speed: 7, health: 5)
Created: noah1114 (distance: 107, speed: 7, health: 1)
Created: potatobot1115 (distance: 174, speed: 4, health: 3)
Created: paoletti1116 (distance: 175, speed: 2, health: 1)
Created: darden1117 (distance: 196, speed: 9, health: 1)
Created: garcia1118 (distance: 144, speed: 6, health: 1)
Created: cris1119 (distance: 300, speed: 2, health: 4)
Created: bing1120 (distance: 238, speed: 7, health: 1)
Created: will1121 (distance: 267, speed: 10, health: 4)
Created: fee1122 (distance: 257, speed: 7, health: 4)
Created: noah1123 (distance: 82, speed: 10, health: 5)
Created: potatobot1124 (distance: 213, speed: 1, health: 2)
Created: paoletti1125 (distance: 168, speed: 10, health: 1)
Created: darden1126 (distance: 159, speed: 2, health: 5)
Created: garcia1127 (distance: 48, speed: 10, health: 5)
Created: cris1128 (distance: 189, speed: 6, health: 4)
Created: bing1129 (distance: 104, speed: 8, health: 1)
Created: will1130 (distance: 204, speed: 2, health: 3)
Created: fee1131 (distance: 275, speed: 7, health: 3)
Created: noah1132 (distance: 75, speed: 7, health: 3)
Created: potatobot1133 (distance: 133, speed: 5, health: 4)
Created: paoletti1134 (distance: 22, speed: 10, health: 5)
Created: darden1135 (distance: 188, speed: 4, health: 5)
Created: garcia1136 (distance: 226, speed: 6, health: 5)
Created: cris1137 (distance: 270, speed: 8, health: 5)
Created: bing1138 (distance: 91, speed: 10, health: 1)
Created: will1139 (distance: 9, speed: 8, health: 5)
Created: fee1140 (distance: 228, speed: 2, health: 3)
Created: noah1141 (distance: 86, speed: 7, health: 3)
Created: potatobot1142 (distance: 52, speed: 5, health: 1)
Created: paoletti1143 (distance: 39, speed: 7, health: 4)
Created: darden1144 (distance: 205, speed: 10, health: 2)
Created: garcia1145 (distance: 117, speed: 3, health: 5)
Created: cris1146 (distance: 246, speed: 10, health: 4)
Created: bing1147 (distance: 152, speed: 3, health: 3)
Created: will1148 (distance: 229, speed: 9, health: 4)
Created: fee1149 (distance: 195, speed: 1, health: 2)
Created: noah1150 (distance: 267, speed: 5, health: 4)
Created: potatobot1151 (distance: 202, speed: 10, health: 3)
Created: paoletti1152 (distance: 223, speed: 4, health: 3)
Created: darden1153 (distance: 98, speed: 4, health: 1)
Created: garcia1154 (distance: 101, speed: 4, health: 3)
Created: cris1155 (distance: 296, speed: 3, health: 5)
Created: bing1156 (distance: 109, speed: 5, health: 3)
Created: will1157 (distance: 34, speed: 4, health: 3)
Created: fee1158 (distance: 26, speed: 9, health: 4)
Created: noah1159 (distance: 219, speed: 4, health: 4)
Created: potatobot1160 (distance: 156, speed: 4, health: 4)
Created: paoletti1161 (distance: 134, speed: 1, health: 5)
Created: darden1162 (distance: 1, speed: 2, health: 4)
Created: garcia1163 (distance: 278, speed: 5, health: 5)
Created: cris1164 (distance: 96, speed: 6, health: 3)
Created: bing1165 (distance: 197, speed: 6, health: 5)
Created: will1166 (distance: 300, speed: 6, health: 1)
Created: fee1167 (distance: 87, speed: 6, health: 4)
Created: noah1168 (distance: 282, speed: 9, health: 5)
Created: potatobot1169 (distance: 261, speed: 6, health: 3)
Created: paoletti1170 (distance: 62, speed: 9, health: 2)
Created: darden1171 (distance: 88, speed: 2, health: 5)
Created: garcia1172 (distance: 274, speed: 9, health: 3)
Created: cris1173 (distance: 119, speed: 6, health: 3)
Created: bing1174 (distance: 140, speed: 3, health: 4)
Created: will1175 (distance: 217, speed: 9, health: 3)
Created: fee1176 (distance: 187, speed: 10, health: 3)
Created: noah1177 (distance: 62, speed: 4, health: 5)
Created: potatobot1178 (distance: 134, speed: 3, health: 3)
Created: paoletti1179 (distance: 188, speed: 7, health: 2)
Created: darden1180 (distance: 290, speed: 8, health: 2)
Created: garcia1181 (distance: 35, speed: 2, health: 5)
Created: cris1182 (distance: 39, speed: 5, health: 5)
Created: bing1183 (distance: 209, speed: 5, health: 5)
Created: will1184 (distance: 284, speed: 9, health: 1)
Created: fee1185 (distance: 122, speed: 1, health: 3)
Created: noah1186 (distance: 73, speed: 8, health: 1)
Created: potatobot1187 (distance: 169, speed: 4, health: 4)
Created: paoletti1188 (distance: 39, speed: 9, health: 1)
Created: darden1189 (distance: 133, speed: 10, health: 5)
Created: garcia1190 (distance: 154, speed: 3, health: 5)
Created: cris1191 (distance: 209, speed: 9, health: 2)
Created: bing1192 (distance: 152, speed: 1, health: 2)
Created: will1193 (distance: 175, speed: 1, health: 4)
Created: fee1194 (distance: 192, speed: 3, health: 2)
Created: noah1195 (distance: 74, speed: 6, health: 2)
Created: potatobot1196 (distance: 264, speed: 10, health: 2)
Created: paoletti1197 (distance: 27, speed: 10, health: 4)
Created: darden1198 (distance: 230, speed: 7, health: 4)
Created: garcia1199 (distance: 113, speed: 1, health: 1)
Destroyed: cris948 (distance: 3, speed: 10, health: 0)
